size,run,sequential_time,parallel_time,builtin_time
100000,1,0.013438,0.411104,0.013005
100000,2,0.011976,0.316633,0.0116
100000,3,0.013289,0.333851,0.011613
100000,4,0.011247,0.341753,0.013203
100000,5,0.011511,0.358039,0.014254
100000,6,0.013738,0.476632,0.011686
100000,7,0.011531,0.347453,0.013608
100000,8,0.012382,0.337075,0.01232
100000,9,0.011844,0.245737,0.012252
100000,10,0.01174,0.238788,0.013384
100000,11,0.012227,0.300389,0.012231
100000,12,0.012435,0.308975,0.011878
100000,13,0.011876,0.301943,0.011847
100000,14,0.012901,0.307694,0.0122
100000,15,0.011738,0.524855,0.019452
100000,16,0.017608,0.541333,0.019226
100000,17,0.018868,0.429434,0.018259
100000,18,0.017845,0.43664,0.018733
100000,19,0.019353,0.526341,0.019707
100000,20,0.018253,0.393638,0.012362
200000,1,0.024915,0.298068,0.02545
200000,2,0.025076,0.278331,0.02519
200000,3,0.024759,0.442035,0.037531
200000,4,0.042824,0.559808,0.038998
200000,5,0.038894,0.524299,0.039523
200000,6,0.04088,0.63978,0.037295
200000,7,0.038537,0.544121,0.03826
200000,8,0.03559,0.575687,0.038222
200000,9,0.038729,0.53754,0.038205
200000,10,0.038706,0.567105,0.038377
200000,11,0.036751,0.579009,0.037316
200000,12,0.038008,0.508117,0.026274
200000,13,0.024571,0.316558,0.028075
200000,14,0.024858,0.311899,0.025103
200000,15,0.025016,0.330382,0.024838
200000,16,0.025236,0.349381,0.024464
200000,17,0.025041,0.313893,0.024899
200000,18,0.023943,0.329097,0.024358
200000,19,0.025658,0.335905,0.0255
200000,20,0.04062,0.567735,0.037868
300000,1,0.058539,0.609533,0.062682
300000,2,0.056272,0.647701,0.062304
300000,3,0.060554,0.68831,0.057891
300000,4,0.060121,0.43367,0.038128
300000,5,0.038226,0.338582,0.039619
300000,6,0.038366,0.353242,0.039234
300000,7,0.038482,0.354998,0.038496
300000,8,0.037873,0.291174,0.048046
300000,9,0.058879,0.432089,0.062873
300000,10,0.057535,0.573185,0.056442
