size,run,sequential_time,parallel_time,builtin_time
1000000,1,0.171779,0.44416,0.143037
1000000,2,0.136311,0.40527,0.139914
1000000,3,0.133251,0.416699,0.135925
1000000,4,0.145682,0.417763,0.142838
1000000,5,0.133629,0.435258,0.135105
1000000,6,0.137278,0.392943,0.144266
1000000,7,0.136303,0.44279,0.14295
1000000,8,0.174496,0.69017,0.222259
1000000,9,0.226708,0.724894,0.220683
1000000,10,0.212011,0.706209,0.21955
1000000,11,0.26247,0.687942,0.230711
1000000,12,0.216708,0.454212,0.141605
1000000,13,0.134962,0.484379,0.217276
1000000,14,0.230284,0.726621,0.237105
1000000,15,0.231096,0.493874,0.141393
1000000,16,0.137317,0.545171,0.239974
1000000,17,0.210853,0.568347,0.1392
1000000,18,0.136533,0.407289,0.144579
1000000,19,0.145972,0.450648,0.143589
1000000,20,0.149591,0.714118,0.221313
2000000,1,0.440572,0.68911,0.28435
2000000,2,0.289598,0.834719,0.422663
2000000,3,0.277233,0.583509,0.427321
2000000,4,0.453269,0.868763,0.454408
2000000,5,0.472382,0.667521,0.292901
2000000,6,0.356749,0.87217,0.298282
2000000,7,0.295714,0.615787,0.494739
2000000,8,0.336287,0.499523,0.346815
2000000,9,0.470977,0.638093,0.292779
2000000,10,0.298217,0.770273,0.428448
2000000,11,0.289802,0.488852,0.407971
2000000,12,0.466049,0.587143,0.294861
2000000,13,0.324853,0.851202,0.308249
2000000,14,0.283832,0.593947,0.471291
2000000,15,0.382361,0.479388,0.283069
2000000,16,0.457736,0.763392,0.292706
2000000,17,0.285029,0.739734,0.4608
2000000,18,0.281938,0.50128,0.381102
2000000,19,0.461726,0.609485,0.296773
2000000,20,0.294096,0.877897,0.330488
3000000,1,0.439868,0.887737,0.750823
3000000,2,0.653813,0.575017,0.558409
3000000,3,0.714607,0.907595,0.455592
3000000,4,0.429707,0.547802,0.436643
3000000,5,0.681708,0.660872,0.440998
3000000,6,0.740042,1.010895,0.563516
3000000,7,0.430269,0.648683,0.449415
3000000,8,0.668651,0.743903,0.456546
