size,run,sequential_time,parallel_time,builtin_time
300000,1,0.045124,0.084415,0.039764
300000,2,0.044128,0.086562,0.04231
300000,3,0.044269,0.089559,0.039704
300000,4,0.044158,0.083359,0.040195
300000,5,0.04419,0.085742,0.040405
300000,6,0.046791,0.086356,0.040272
300000,7,0.044009,0.081644,0.040203
300000,8,0.044753,0.086837,0.0407
300000,9,0.044565,0.087238,0.040425
300000,10,0.044651,0.088512,0.041943
300000,11,0.045234,0.090938,0.042174
300000,12,0.044532,0.090744,0.041403
300000,13,0.045638,0.089543,0.040227
300000,14,0.045812,0.090188,0.03998
300000,15,0.045794,0.088606,0.039386
300000,16,0.045731,0.080791,0.041541
300000,17,0.045664,0.079285,0.042056
300000,18,0.045453,0.080997,0.041038
300000,19,0.045167,0.080476,0.040015
300000,20,0.04573,0.076465,0.040241
300000,21,0.045492,0.083877,0.040045
300000,22,0.045369,0.075347,0.039147
300000,23,0.045742,0.071833,0.039939
300000,24,0.04571,0.085265,0.041606
300000,25,0.045566,0.084804,0.040308
300000,26,0.045642,0.079617,0.039215
300000,27,0.045341,0.081098,0.041569
300000,28,0.045398,0.084433,0.039368
300000,29,0.045578,0.088755,0.039947
300000,30,0.045357,0.086509,0.041737
400000,1,0.060882,0.094799,0.056571
400000,2,0.060867,0.092649,0.053577
400000,3,0.06082,0.098581,0.053656
400000,4,0.060946,0.098109,0.054075
400000,5,0.060875,0.096236,0.056747
400000,6,0.060779,0.105455,0.053385
400000,7,0.060604,0.103198,0.05447
400000,8,0.060712,0.103542,0.053233
400000,9,0.06127,0.105412,0.054476
400000,10,0.061206,0.088392,0.054425
400000,11,0.061137,0.097754,0.053672
400000,12,0.061337,0.101108,0.05367
400000,13,0.060675,0.104187,0.056275
400000,14,0.060706,0.093487,0.056062
400000,15,0.06082,0.108799,0.056075
400000,16,0.060853,0.103902,0.053774
400000,17,0.060922,0.092373,0.053792
400000,18,0.061359,0.09998,0.053359
400000,19,0.061515,0.094864,0.056563
400000,20,0.061468,0.10204,0.053995
400000,21,0.061171,0.096175,0.053829
400000,22,0.060982,0.101666,0.057107
400000,23,0.061172,0.096484,0.053531
400000,24,0.06134,0.102216,0.054119
400000,25,0.061041,0.09382,0.054374
400000,26,0.061006,0.097214,0.056136
400000,27,0.061686,0.09905,0.053699
400000,28,0.061856,0.10333,0.054866
400000,29,0.0614,0.116093,0.054329
400000,30,0.061747,0.108243,0.054403
500000,1,0.077417,0.117232,0.06935
500000,2,0.077403,0.118748,0.068441
500000,3,0.077025,0.117714,0.068355
500000,4,0.077395,0.108642,0.071617
500000,5,0.076279,0.114223,0.071362
500000,6,0.076186,0.122822,0.071885
500000,7,0.076072,0.110184,0.070438
500000,8,0.07816,0.116698,0.07058
500000,9,0.078218,0.11552,0.068993
500000,10,0.078064,0.114246,0.069593
500000,11,0.077928,0.11831,0.07176
500000,12,0.076814,0.117404,0.069294
500000,13,0.076921,0.104199,0.072272
500000,14,0.076884,0.113243,0.071484
500000,15,0.079387,0.11562,0.068358
500000,16,0.079298,0.112877,0.06844
500000,17,0.079483,0.108768,0.068737
500000,18,0.07934,0.116858,0.07221
500000,19,0.078906,0.114682,0.072068
500000,20,0.078795,0.118267,0.069446
500000,21,0.079236,0.113256,0.069256
500000,22,0.07874,0.113264,0.070883
500000,23,0.07634,0.116785,0.068463
500000,24,0.076412,0.109268,0.068497
500000,25,0.076528,0.110857,0.068256
500000,26,0.077005,0.113937,0.072446
500000,27,0.077033,0.115455,0.071175
500000,28,0.077142,0.116514,0.072258
500000,29,0.077151,0.120867,0.068665
500000,30,0.079348,0.105246,0.068228
600000,1,0.094705,0.134953,0.087418
600000,2,0.094769,0.128032,0.086535
600000,3,0.094402,0.135816,0.083877
600000,4,0.094505,0.129362,0.086932
600000,5,0.094439,0.119836,0.083659
600000,6,0.094377,0.135992,0.083402
600000,7,0.094242,0.134952,0.083048
600000,8,0.094163,0.13637,0.086107
600000,9,0.092686,0.1368,0.086043
600000,10,0.092824,0.139425,0.083815
600000,11,0.092792,0.136051,0.08281
600000,12,0.093617,0.131251,0.083358
600000,13,0.09332,0.123896,0.083377
600000,14,0.093322,0.129074,0.087004
600000,15,0.093627,0.131277,0.087344
600000,16,0.09381,0.13253,0.083414
600000,17,0.09374,0.132195,0.086534
600000,18,0.094973,0.128518,0.087083
600000,19,0.095414,0.127937,0.084233
600000,20,0.095376,0.125664,0.086992
600000,21,0.092605,0.133948,0.082071
600000,22,0.092462,0.126958,0.085943
600000,23,0.092647,0.139916,0.087126
600000,24,0.092604,0.13735,0.085366
600000,25,0.092403,0.139289,0.083126
600000,26,0.091865,0.131519,0.087987
600000,27,0.097172,0.129707,0.089663
600000,28,0.096156,0.134551,0.083409
600000,29,0.095351,0.132095,0.088926
600000,30,0.094482,0.12985,0.089068
700000,1,0.110357,0.150326,0.104242
700000,2,0.110232,0.140606,0.104152
700000,3,0.111218,0.144516,0.102577
700000,4,0.110897,0.157563,0.103696
700000,5,0.111116,0.150541,0.098596
700000,6,0.111515,0.15309,0.102844
700000,7,0.11156,0.151204,0.104948
700000,8,0.113024,0.148952,0.098703
700000,9,0.112772,0.154851,0.098488
700000,10,0.113237,0.151353,0.099061
700000,11,0.110447,0.146046,0.098336
700000,12,0.110566,0.147592,0.098541
700000,13,0.110667,0.151026,0.10164
700000,14,0.11174,0.151734,0.098434
700000,15,0.111533,0.152212,0.098045
700000,16,0.114325,0.149218,0.106034
700000,17,0.111938,0.152905,0.10433
700000,18,0.112166,0.151406,0.111221
700000,19,0.109013,0.151212,0.104152
700000,20,0.108425,0.142652,0.103405
700000,21,0.11108,0.157052,0.101901
700000,22,0.111247,0.148886,0.104213
700000,23,0.111642,0.150271,0.10417
700000,24,0.110949,0.140032,0.101797
700000,25,0.110816,0.146896,0.098651
700000,26,0.110415,0.154706,0.102177
700000,27,0.10941,0.150095,0.097609
700000,28,0.109422,0.152829,0.097517
700000,29,0.112134,0.148611,0.0978
700000,30,0.111991,0.151817,0.098539
800000,1,0.126971,0.172719,0.116866
800000,2,0.125856,0.164423,0.12161
800000,3,0.126019,0.159732,0.112187
800000,4,0.127364,0.164002,0.118872
800000,5,0.127119,0.166879,0.112363
800000,6,0.130075,0.168122,0.112674
800000,7,0.130056,0.172604,0.11835
800000,8,0.129742,0.1605,0.111067
800000,9,0.128746,0.167622,0.112636
800000,10,0.128393,0.165175,0.115817
800000,11,0.126419,0.156943,0.111575
800000,12,0.126203,0.158321,0.122856
800000,13,0.127197,0.166784,0.116223
800000,14,0.12722,0.166774,0.118923
800000,15,0.127213,0.16509,0.11614
800000,16,0.126163,0.161494,0.112516
800000,17,0.126204,0.169796,0.11464
800000,18,0.126858,0.163553,0.112779
800000,19,0.126812,0.16628,0.118687
800000,20,0.129641,0.164669,0.112459
800000,21,0.129295,0.16626,0.112224
800000,22,0.129356,0.166205,0.111657
800000,23,0.127644,0.161123,0.114095
800000,24,0.127961,0.174064,0.113041
800000,25,0.129325,0.169763,0.1126
800000,26,0.129186,0.161233,0.12108
800000,27,0.12806,0.164821,0.114931
800000,28,0.128064,0.168503,0.11226
800000,29,0.128214,0.167223,0.113955
800000,30,0.131317,0.173724,0.111379
900000,1,0.140872,0.190962,0.127428
900000,2,0.146474,0.190021,0.134435
900000,3,0.146277,0.190586,0.130048
900000,4,0.143252,0.182809,0.12716
900000,5,0.143171,0.185211,0.134073
900000,6,0.143757,0.18099,0.134845
900000,7,0.144093,0.181674,0.128921
900000,8,0.142304,0.181333,0.128153
900000,9,0.142387,0.177379,0.129881
900000,10,0.145064,0.191752,0.131476
900000,11,0.145131,0.185467,0.133363
900000,12,0.143679,0.173315,0.134806
900000,13,0.143758,0.182241,0.133719
900000,14,0.14703,0.175727,0.128718
900000,15,0.146782,0.186847,0.127144
900000,16,0.145244,0.18206,0.127942
900000,17,0.14419,0.18048,0.138848
900000,18,0.144969,0.179294,0.134113
900000,19,0.144615,0.181331,0.126829
900000,20,0.144622,0.178467,0.135951
900000,21,0.144036,0.183408,0.126736
900000,22,0.143963,0.18235,0.128311
900000,23,0.143509,0.184076,0.131175
900000,24,0.144041,0.186047,0.129289
900000,25,0.143399,0.187147,0.127051
900000,26,0.143416,0.180842,0.127728
900000,27,0.144528,0.184307,0.137503
900000,28,0.143887,0.183633,0.135677
900000,29,0.145597,0.188144,0.135671
900000,30,0.144879,0.174355,0.147228
1000000,1,0.161044,0.198259,0.14285
1000000,2,0.160984,0.203506,0.151768
1000000,3,0.163919,0.206259,0.143818
1000000,4,0.163049,0.209773,0.142953
1000000,5,0.161737,0.208641,0.150272
1000000,6,0.161711,0.205393,0.142528
1000000,7,0.158666,0.195706,0.149217
1000000,8,0.161876,0.199275,0.145472
1000000,9,0.162791,0.203078,0.143407
1000000,10,0.163477,0.198933,0.14264
1000000,11,0.16402,0.200637,0.142655
1000000,12,0.157851,0.206424,0.143704
1000000,13,0.157643,0.200033,0.155372
1000000,14,0.162028,0.194506,0.143555
1000000,15,0.162147,0.187757,0.143785
1000000,16,0.159296,0.203533,0.155192
1000000,17,0.159413,0.19583,0.150929
1000000,18,0.163517,0.2057,0.142675
1000000,19,0.163529,0.201243,0.149295
1000000,20,0.160315,0.198235,0.152316
1000000,21,0.16028,0.19432,0.142657
1000000,22,0.160479,0.19163,0.144
1000000,23,0.162665,0.198342,0.143004
1000000,24,0.163098,0.198686,0.151238
1000000,25,0.163575,0.209376,0.142725
1000000,26,0.163547,0.201203,0.150897
1000000,27,0.159762,0.203526,0.144884
1000000,28,0.159573,0.195602,0.146429
1000000,29,0.160911,0.204068,0.142931
1000000,30,0.160645,0.196665,0.142461
1100000,1,0.178082,0.221082,0.184365
1100000,2,0.177705,0.219495,0.168214
1100000,3,0.185132,0.202232,0.161164
1100000,4,0.181324,0.221556,0.160403
1100000,5,0.18027,0.216283,0.157697
1100000,6,0.177991,0.225463,0.171758
1100000,7,0.177614,0.226976,0.160944
1100000,8,0.183032,0.213955,0.173893
1100000,9,0.180447,0.211027,0.158638
1100000,10,0.180755,0.206337,0.170744
1100000,11,0.179203,0.221229,0.158648
1100000,12,0.178502,0.225718,0.157678
1100000,13,0.181633,0.219413,0.166011
1100000,14,0.184216,0.216889,0.159477
1100000,15,0.195292,0.217196,0.16063
1100000,16,0.17856,0.226254,0.17326
1100000,17,0.178881,0.225342,0.158435
1100000,18,0.176266,0.218795,0.160581
1100000,19,0.176023,0.211261,0.169437
1100000,20,0.178921,0.215852,0.167469
1100000,21,0.180266,0.224832,0.165644
1100000,22,0.180179,0.223556,0.158903
1100000,23,0.179995,0.213632,0.157523
1100000,24,0.17988,0.213225,0.168012
1100000,25,0.175597,0.226138,0.172211
1100000,26,0.17898,0.215753,0.159215
1100000,27,0.178504,0.212,0.158734
1100000,28,0.180566,0.214257,0.159973
1100000,29,0.180891,0.218353,0.163883
1100000,30,0.177547,0.21505,0.174006
1200000,1,0.197173,0.234092,0.17437
1200000,2,0.198027,0.227865,0.185014
1200000,3,0.196894,0.232595,0.184165
1200000,4,0.197165,0.236503,0.173997
1200000,5,0.201441,0.24134,0.201857
1200000,6,0.198077,0.234096,0.188926
1200000,7,0.197809,0.234795,0.183769
1200000,8,0.196365,0.227511,0.198458
1200000,9,0.200684,0.229561,0.183303
1200000,10,0.199551,0.24312,0.183757
1200000,11,0.198343,0.240263,0.193598
1200000,12,0.201319,0.245911,0.198815
1200000,13,0.201017,0.232936,0.180787
1200000,14,0.19599,0.232726,0.174283
1200000,15,0.198379,0.242507,0.182871
1200000,16,0.198478,0.24232,0.173908
1200000,17,0.204535,0.250566,0.197893
1200000,18,0.197158,0.24796,0.174862
