size,run,sequential_time,parallel_time,builtin_time
1000000,1,0.138924,0.422767,0.141615
1000000,2,0.164518,0.70425,0.231491
1000000,3,0.139335,0.435258,0.138648
1000000,4,0.140136,0.433252,0.145175
1000000,5,0.13363,0.495547,0.237741
1000000,6,0.244207,0.70961,0.216561
1000000,7,0.146969,0.378194,0.127346
1000000,8,0.12113,0.493279,0.20729
1000000,9,0.241777,0.661796,0.225777
1000000,10,0.241951,0.59791,0.138914
1000000,11,0.1347,0.416717,0.155586
1000000,12,0.198785,0.672999,0.147164
1000000,13,0.141573,0.393292,0.145117
1000000,14,0.141206,0.681305,0.226188
1000000,15,0.199851,0.664173,0.208534
1000000,16,0.138802,0.372261,0.141102
1000000,17,0.145061,0.625816,0.22245
1000000,18,0.23224,0.37299,0.144796
1000000,19,0.132741,0.417006,0.136413
1000000,20,0.136212,0.380356,0.140942
2000000,1,0.432906,0.811744,0.464513
2000000,2,0.428482,0.486734,0.298722
2000000,3,0.433682,0.807286,0.286807
2000000,4,0.297384,0.479201,0.283204
2000000,5,0.274444,0.835232,0.433447
2000000,6,0.480682,0.594497,0.297577
2000000,7,0.315569,0.794151,0.340576
2000000,8,0.290919,0.570847,0.45689
2000000,9,0.396411,0.49455,0.286906
2000000,10,0.430923,0.756899,0.293963
2000000,11,0.291531,0.607932,0.455994
2000000,12,0.322133,0.506394,0.285267
2000000,13,0.474959,0.749774,0.28991
2000000,14,0.295768,0.82203,0.391554
2000000,15,0.304836,0.484901,0.458017
2000000,16,0.4205,0.542385,0.281671
2000000,17,0.335622,0.841994,0.299567
2000000,18,0.27963,0.641039,0.445633
2000000,19,0.38804,0.506631,0.292214
2000000,20,0.429747,0.736299,0.283439
3000000,1,0.432059,0.92217,0.491009
3000000,2,0.417905,0.983883,0.486044
3000000,3,0.431391,0.939865,0.520945
3000000,4,0.468388,0.921828,0.541513
3000000,5,0.429823,0.867998,0.567984
3000000,6,0.447583,0.869647,0.601672
3000000,7,0.451227,0.869375,0.581738
3000000,8,0.456651,0.82188,0.617348
3000000,9,0.443411,0.80564,0.634073
